Date,Epicentral Area,Magnitude,Latitude,Longitude
1509-02-25,Calabria meridionale,5.6,38.1,15.684
1509-04-19,Faentino,5.0,44.324,11.865
1511-03-26,Slovenia,7.0,46.198,13.431
1511-03-28,Slovenia,5.0,45.501,11.924
1511-08-08,Slovenia,6.0,46.054,13.725
1517-03-29,Irpinia,5.4,41.012,15.21
1527-10-04,Pistoia,5.4,43.933,10.913
1536-08-17,Appennino tosco-emiliano?,5.3,44.365,10.933
1542-06-13,Mugello,5.9,44.007,11.384
1542-12-10,Siracusano,6.8,37.234,15.014
1545-06-09,Valle del Taro,5.3,44.474,9.825
1547-02-10,Reggio Emilia,5.1,44.698,10.631
1558-02-09,Alta Valtiberina,5.1,43.514,12.19
1559-04-11,Alta Valtiberina,5.1,43.621,12.091
1560-05-11,Barletta-Bisceglie,5.6,41.249,16.485
1561-07-31,Buccino (SA),5.6,40.633,15.376
1561-08-19,Vallo di Diano,6.5,40.514,15.492
1564-07-20,Alpi Marittime,6.0,44.03,7.27
1570-11-17,Ferrara,5.5,44.824,11.631
1584-09-10,Appennino tosco-emiliano,5.8,43.863,11.992
1597-08-03,Mugello,5.2,43.988,11.429
1599-11-06,Valnerina,6.0,42.725,13.021
1611-09-08,Scarperia (FI),5.1,44.011,11.359
1613-08-25,Naso (ME),5.6,38.123,14.788
1622-05-05,Slovenia,5.4,46.181,14.658
1624-03-19,Argenta (FE),5.5,44.643,11.848
1624-10-03,Mineo (CT),5.6,37.27,14.742
1626-04-04,Girifalco (CZ),6.0,38.852,16.456
1627-07-30,Gargano,6.8,41.738,15.342
1627-07-30,San Severo (FG),5.8,41.686,15.381
1627-08-07,Gargano,6.0,41.759,15.328
1627-09-06,Gargano,5.8,41.597,15.358
1631-02-25,Annifo (PG),5.1,43.055,12.857
1633-02-21,Nicolosi (CT),5.8,37.614,15.026
1638-03-27,Calabria,7.0,39.048,16.288
1638-06-08,Crotonese,6.9,39.279,16.812
1639-10-08,Monti della Laga,6.1,42.639,13.269
1639-10-15,Monti della Laga,6.2,42.652,13.247
1642-06-13,Cremonese,5.4,45.279,9.927
1644-02-15,Alpi Marittime,6.0,43.993,7.317
1646-05-31,Gargano,6.3,41.874,15.938
1654-07-24,Sorano-Marsica,6.3,41.635,13.683
1659-11-05,Calabria centrale,6.6,38.696,16.25
1661-03-12,Bergamasco,5.1,45.655,9.982
1661-03-22,Appennino romagnolo,6.1,44.022,11.898
1669-03-10,Nicolosi (CT),5.3,37.614,15.026
1671-06-20,Modena-Reggio Emilia,5.3,44.675,10.866
1672-04-14,Riminese,5.6,43.941,12.575
1688-04-11,Romagna,5.8,44.391,11.942
1688-06-05,Sannio,7.0,41.284,14.561
1690-12-04,Carinzia,6.5,46.635,13.882
1690-12-23,Anconetano,5.4,43.547,13.592
1691-02-19,Slovenia,5.4,46.093,14.447
1693-01-08,Calabria settentrionale,5.6,39.796,16.113
1693-01-09,Val di Noto,6.2,37.141,15.035
1693-01-11,Sicilia orientale,7.4,37.141,15.013
1694-04-08,Alta Valtiberina,5.1,43.621,12.091
1694-09-08,Irpinia-Basilicata,6.8,40.863,15.406
1695-02-25,Asolano,6.5,45.802,11.948
1695-06-11,Lazio settentrionale,6.2,42.625,12.107
1700-07-28,Carnia,5.7,46.41,12.88
1702-03-14,Beneventano-Irpinia,6.5,41.121,14.989
1703-01-14,Appennino umbro-reatino,6.7,42.709,13.07
1703-01-16,Appennino umbro-reatino,6.0,42.623,13.102
1703-02-02,Aquilano,6.7,42.435,13.292
1706-11-03,Maiella,6.8,42.077,14.079
1708-01-26,Pollino,5.5,39.995,16.014
1717-04-22,Castroreale (ME),5.0,38.1,15.211
1719-06-27,Alta Valnerina,5.5,42.877,13.047
1721-06-18,Annifo (PG),5.1,43.055,12.857
1724-12-11,Colline Metallifere,5.4,43.189,10.996
1725-10-29,Appennino tosco-emiliano,5.4,44.207,11.573
1726-09-01,Palermo,5.6,38.121,13.353
1730-05-12,Valnerina,5.9,42.753,13.12
1730-10-23,Gubbio (PG),5.4,43.352,12.577
1731-03-20,Foggiano,6.5,41.274,15.757
1731-03-29,Alta Valtiberina,5.4,43.671,12.041
1732-11-29,Irpinia,6.6,41.064,15.059
1737-03-31,Campania,5.1,40.921,14.66
1739-05-10,Naso (ME),5.1,38.098,14.743
1740-03-06,Garfagnana,5.5,44.075,10.489
1741-04-24,Appennino marchigiano,6.2,43.426,13.005
1741-08-06,Irpinia,5.4,41.03,14.932
1743-01-21,Bagnoregio (VT),5.0,42.615,12.074
1743-02-20,Basso Ionio,6.9,40.246,18.049
1743-10-02,Amantea (CS),5.1,39.132,16.081
1743-12-07,Calabria centrale,5.7,38.695,16.372
1744-03-21,Crotonese,5.7,39.04,16.781
1746-07-23,Garfagnana,5.1,44.092,10.448
1747-04-17,Appennino umbro-marchigiano,5.8,43.218,12.745
1751-07-27,Appennino umbro-marchigiano,6.3,43.225,12.739
1753-03-09,Valle del Chisone,5.2,44.942,7.18
1755-11-01,Isola di Ponza,5.8,40.895,12.959
1755-12-09,Vallese,5.9,46.316,7.985
1762-04-15,Mugello,5.1,44.005,11.505
1762-10-06,Aquilano,6.0,42.308,13.585
1767-01-21,Fivizzano (MS),5.4,44.132,10.123
1767-05-26,Valle di Lanzo,5.1,45.272,7.501
1767-07-14,Cosentino,6.0,39.375,16.279
1768-10-19,Appennino romagnolo,5.9,43.94,11.901
1779-06-04,Bolognese,5.2,44.445,11.479
1779-07-14,Bolognese,5.2,44.461,11.328
1779-11-23,Bolognese,5.0,44.426,11.527
1780-02-06,Bolognese,5.1,44.569,11.309
1780-09-14,Golfo di Patti,5.4,38.082,14.981
1781-04-04,Romagna,5.9,44.252,11.798
1781-06-03,Appennino marchigiano,6.3,43.576,12.548
1781-07-17,Romagna,5.6,44.267,11.989
1783-02-05,Calabria,7.0,38.297,15.97
1783-02-06,Calabria meridionale-Messina,6.3,38.183,15.638
1783-02-07,Calabria,6.6,38.581,16.201
1783-03-01,Calabria centrale,5.9,38.765,16.3
1783-03-28,Calabria,7.0,38.786,16.464
1785-05-03,Alta valle del Chienti,5.1,43.073,12.955
1785-10-09,Umbria meridionale,5.7,42.537,12.788
1786-03-10,Sicilia nord-orientale,6.2,38.103,15.021
1786-04-07,Pianura Padana,5.1,45.299,9.595
1786-07-31,Aquilano,5.4,42.323,13.373
1786-12-25,Riminese,5.6,43.992,12.564
1788-10-20,Tolmezzo (UD),5.1,46.399,13.019
1789-09-30,Valtiberina,5.9,43.51,12.22
1791-10-11,Appennino umbro,5.5,42.951,12.861
1791-10-13,Calabria centrale,6.0,38.636,16.268
1793-04-21,Afrile (PG),5.4,43.026,12.811
1794-06-07,Prealpi carniche,6.0,46.307,12.821
1794-06-12,Irpinia,5.2,41.109,14.924
1794-06-30,Prealpi carniche,5.3,46.298,12.795
1796-02-05,Aretino,5.1,43.547,11.877
1796-03-18,Casamicciola Terme (NA),5.6,40.747,13.909
1796-10-22,Emilia orientale,5.6,44.615,11.67
1799-07-28,Appennino marchigiano,6.2,43.219,13.147
1801-10-08,Bologna,5.1,44.468,11.42
1802-05-12,Valle dell’Oglio,5.7,45.416,9.854
1805-07-26,Molise,6.6,41.501,14.474
1806-08-26,Colli Albani,5.5,41.719,12.725
1808-04-02,Valle del Pellice,5.7,44.839,7.248
1808-04-16,Valle del Pellice,5.3,44.846,7.315
1812-09-11,Valle del Pesa,5.2,43.66,11.139
1812-10-25,Valle del Cellina,5.7,46.029,12.573
1813-09-21,Romagna centrale,5.3,44.25,11.972
1815-09-03,Valnerina,5.5,42.833,13.015
1817-03-11,Alta Savoia,5.5,46.245,6.642
1818-02-20,Catanese,6.2,37.603,15.141
1818-02-23,Liguria occidentale-Francia,5.5,43.809,7.644
1818-03-01,Monti Iblei,5.5,37.205,14.756
1818-09-08,Madonie,5.2,37.814,14.082
1818-12-09,Parmense,5.3,44.697,10.295
1819-02-24,Madonie,5.3,37.939,14.042
1823-03-05,Sicilia settentrionale,5.7,37.994,14.094
1826-02-01,Basilicata,5.8,40.52,15.727
1828-02-02,Casamicciola Terme (NA),5.8,40.745,13.899
1828-10-09,Valle Staffora,5.8,44.822,9.047
1828-10-10,Valle Staffora,5.0,44.93,9.046
1831-05-26,Liguria occidentale,5.5,43.856,7.849
1831-09-11,Reggiano,5.5,44.753,10.544
1832-01-13,Valle del Topino,6.3,42.98,12.605
1832-03-08,Crotonese,6.6,39.08,16.919
1832-03-13,Reggiano,5.5,44.765,10.493
1832-12-04,Alta valle del Chienti,5.3,43.006,13.07
1834-02-14,Valle del Taro-Lunigiana,5.8,44.433,9.851
1834-07-04,Lunigiana-Parmense,5.2,44.53,9.948
1835-10-12,Cosentino,5.8,39.331,16.293
1836-04-25,Calabria settentrionale,6.2,39.567,16.737
1836-05-15,Rossano (CS),5.1,39.574,16.635
1836-06-12,Prealpi venete,5.6,45.808,11.823
1836-11-20,Basilicata meridionale,6.0,40.143,15.776
1837-04-11,Alpi Apuane,5.8,44.175,10.181
1838-01-05,Valnerina,5.0,42.764,12.787
1838-02-14,Valnerina,5.3,42.841,12.908
1838-08-05,Valnerina,5.1,42.877,12.884
1841-06-10,Valle dell’Aventino,5.0,42.083,14.08
1843-10-25,Mugello,5.1,44.004,11.261
1846-04-22,Catanese,5.0,37.538,14.923
1846-08-14,Toscana settentrionale,5.9,43.471,10.562
1848-01-11,Golfo di Catania,5.5,37.543,15.095
1851-08-14,Basilicata,6.4,40.953,15.667
1851-08-14,Melfi (PZ),5.6,40.994,15.653
1853-04-09,Irpinia,5.6,40.818,15.215
1854-02-12,Cosentino,6.2,39.257,16.295
1854-02-12,Valle del Topino,5.6,43.035,12.584
1854-12-29,Liguria occidentale-Francia,5.7,43.787,7.558
1855-07-25,Vallese,5.7,45.839,7.704
1857-12-16,Basilicata,7.0,40.353,15.842
1857-12-26,Montemurro (PZ),5.4,40.298,15.991
1859-01-20,Trevigiano,5.2,45.891,12.101
1859-08-22,Valnerina,5.8,42.829,13.099
1865-07-19,Area etnea,5.4,37.695,15.156
1865-09-21,Umbria settentrionale,5.1,43.282,12.312
1869-06-25,Media valle del Reno,5.4,44.313,11.118
1870-10-04,Cosentino,6.1,39.22,16.331
1870-10-30,Romagna,5.6,44.133,12.062
1871-07-29,Colline Metallifere,5.4,43.301,10.618
1873-03-12,Marche meridionali,6.0,43.09,13.244
1873-06-29,Bellunese,6.3,46.16,12.383
1873-07-12,Monti della Meta,5.4,41.687,13.778
1873-09-17,Appennino tosco-emiliano,5.5,44.439,9.946
1874-10-07,Appennino tosco-emiliano,5.1,44.196,11.573
1874-12-06,Monti della Meta,5.5,41.655,13.827
1875-03-17,Romagna sud-orientale,5.8,44.063,12.547
1877-08-24,Lazio meridionale,5.2,41.711,13.351
1878-03-12,Bolognese,5.1,44.425,11.543
1878-09-15,Valle del Clitunno,5.4,42.846,12.676
1879-02-23,Valnerina,5.6,42.766,13.043
1879-04-27,Valle del Senio,5.1,44.169,11.586
1879-06-17,Area etnea,5.7,37.687,15.146
1880-07-04,Vallese,5.4,46.274,8.059
1881-01-24,Bolognese,5.2,44.402,11.348
1881-02-14,Bolognese,5.0,44.405,11.483
1881-03-04,Isola d’Ischia,5.4,40.748,13.895
1881-09-10,Abruzzo meridionale,5.6,42.232,14.284
1882-02-15,Val Borbera,5.0,44.661,9.084
1882-06-06,Monti del Matese,5.3,41.558,14.203
1882-09-18,Monte Baldo,5.0,45.711,10.77
1883-07-28,Isola d’Ischia,5.7,40.74,13.871
1884-11-27,Alpi Cozie,5.3,44.935,6.622
1887-02-23,Liguria occidentale,6.3,43.892,7.992
