File downloaded from CFTI5Med
E. Guidoboni, G. Ferrari, D. Mariotti, A. Comastri, G. Tarabusi, G. Sgattoni, G. Valensise (2018) - CFTI5Med, Catalogo dei Forti Terremoti in Italia (461 a.C.-1997) e nell’area Mediterranea (760 a.C.-1500). Istituto Nazionale di Geofisica e Vulcanologia (INGV). http://storing.ingv.it/cfti/cfti5/

Date;Time;Io (Epicentral intensity - MCS scale);Imax (Maximum intensity - MCS scale);NMO (Number of Macroseismic Observations);Me (Equivalent magnitude based on macroseismic observations);Latitude;Longitude;Epicentral Area;Notes;Review Level
1461 11 27;21:05;10;10;10;6.4;42.314;13.543;Aquilano;;HIGH
1466 01 15;02:25;8.5;8.5;31;6.1;40.766;15.334;Irpinia;;MEDIUM
1467 09 03;-;6.5;6.5;1;4.9;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1480 - -;-;7.5;7.5;4;5.4;42.902;13.800;Marche meridionali;;LOW
1481 05 07;14:15;8;8;6;5.6;44.275;10.129;Garfagnana;;MEDIUM
1483 08 11;19:40;8;8.5;14;5.7;44.156;12.229;Romagna meridionale;;MEDIUM
1491 01 24;23:50;6.5;6.5;6;5;45.407;11.876;Padova;S (epicentral parameters based on a single intensity datapoint);HIGH
1494 05 29;02:15;7.5;7.5;1;5.4;38.188;15.549;Messina;S (epicentral parameters based on a single intensity datapoint);LOW
1501 06 05;10:00;9;9;20;6;44.520;10.844;Appennino modenese;;HIGH
1504 11 01;-;7;7;2;5.1;43.697;11.816;Bibbiena (AR);S (epicentral parameters based on a single intensity datapoint);MEDIUM
1504 12 31;04:00;6;6.5;15;5.3;45.047;11.457;Bolognese;;HIGH
1505 01 03;02:00;8;8;31;5.6;44.509;11.230;Bolognese;;HIGH
1509 02 25;22:20;8;9;3;5.6;38.100;15.684;Calabria meridionale;;HIGH
1509 04 19;-;7;7;5;5;44.324;11.865;Faentino;;LOW
1511 03 26;14:40;9;10;66;7;46.198;13.431;Slovenia;;MEDIUM
1511 08 08;-;9;9;2;6;46.054;13.725;Slovenia;;MEDIUM
1527 10 04;-;7.5;7.5;1;5.4;43.933;10.913;Pistoia;S (epicentral parameters based on a single intensity datapoint);LOW
1536 08 10;23:00;6;6;1;4.7;44.420;8.897;Genova;S (epicentral parameters based on a single intensity datapoint);HIGH
1542 06 13;02:15;9;9;46;5.9;44.007;11.384;Mugello;;MEDIUM
1542 12 10;15:15;10;10;32;6.8;37.234;15.014;Siracusano;;HIGH
1545 06 09;15:45;7.5;7.5;8;5.3;44.474;9.825;Valle del Taro;;MEDIUM
1547 02 10;13:20;7;8;13;5.1;44.698;10.631;Reggio Emilia;;HIGH
1554 11 28;19:00;6.5;6.5;1;4.9;43.778;11.249;Firenze;S (epicentral parameters based on a single intensity datapoint);LOW
1560 05 11;04:40;8;8;7;5.6;41.249;16.485;Barletta-Bisceglie;;LOW
1561 07 31;18:40;8;9;4;5.6;40.633;15.376;Buccino (SA);;LOW
1561 08 19;14:10;9.5;10;32;6.5;40.514;15.492;Vallo di Diano;;LOW
1564 07 20;18:30;9;9.5;20;6;44.030;7.270;Alpi Marittime;;LOW
1570 11 17;19:10;7.5;8;58;5.5;44.824;11.631;Ferrara;;HIGH
1584 09 10;20:30;9;9;17;5.8;43.863;11.992;Appennino tosco-emiliano;;MEDIUM
1597 08 03;23:40;7.5;7.5;24;5.2;43.988;11.429;Mugello;;MEDIUM
1599 11 06;01:25;9;9;20;6;42.725;13.021;Valnerina;;MEDIUM
1611 09 08;22:10;7;7.5;4;5.1;44.011;11.359;Scarperia (FI);;LOW
1613 08 25;05:00;8;9;2;5.6;38.123;14.788;Naso (ME);;HIGH
1622 05 05;11:00;7.5;7.5;3;5.4;46.181;14.658;Slovenia;;LOW
1624 03 19;19:45;7.5;8.5;18;5.5;44.643;11.848;Argenta (FE);;HIGH
1624 10 03;17:00;8;9;3;5.6;37.270;14.742;Mineo (CT);;HIGH
1626 04 04;12:45;9;10;7;6;38.852;16.456;Girifalco (CZ);;HIGH
1627 07 30;10:50;10;10;64;6.8;41.738;15.342;Gargano;;HIGH
1627 07 30;11:05;8.5;8.5;1;5.8;41.686;15.381;San Severo (FG);S (epicentral parameters based on a single intensity datapoint);HIGH
1627 08 07;16:40;9;9;5;6;41.759;15.328;Gargano;;HIGH
1627 09 06;15:50;8.5;8.5;2;5.8;41.597;15.358;Gargano;;HIGH
1628 11 04;15:40;6.5;6.5;1;4.9;44.801;10.328;Parma;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1628 11 04;15:40;6;6;1;4.7;44.801;10.328;Parma;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1633 02 21;23:00;8.5;8.5;1;5.8;37.614;15.026;Nicolosi (CT);S (epicentral parameters based on a single intensity datapoint);HIGH
1638 03 27;15:05;11;11;215;7;39.048;16.288;Calabria;;HIGH
1638 06 08;09:45;10;10;41;6.9;39.279;16.812;Crotonese;;HIGH
1639 10 08;00:35;10;10;17;6.1;42.639;13.269;Monti della Laga;;LOW
1639 10 15;00:30;10;10;15;6.2;42.652;13.247;Monti della Laga;;LOW
1642 06 13;22:40;6;6.5;12;5.4;45.279;9.927;Cremonese;;LOW
1644 02 15;09:20;8.5;8.5;26;6;43.993;7.317;Alpi Marittime;;LOW
1646 04 05;16:15;6;7;2;4.7;43.551;10.321;Livorno;;LOW
1646 05 31;04:30;9.5;9.5;17;6.3;41.874;15.938;Gargano;;LOW
1654 07 24;00:25;9.5;10;44;6.3;41.635;13.683;Sorano-Marsica;;HIGH
1659 11 05;22:15;10;10;127;6.6;38.696;16.250;Calabria centrale;;HIGH
1661 03 21;23:00;6.5;6.5;4;4.9;44.735;10.863;Modenese;;LOW
1661 03 12;-;7;7.5;6;5.1;45.655;9.982;Bergamasco;;LOW
1661 03 22;12:50;9;10;79;6.1;44.022;11.898;Appennino romagnolo;;HIGH
1669 03 10;23:25;8.5;9.5;18;5.3;37.614;15.026;Nicolosi (CT);;HIGH
1671 06 20;10:00;7;7;8;5.3;44.675;10.866;Modena-Reggio Emilia;;MEDIUM
1672 04 14;15:45;8;8;92;5.6;43.941;12.575;Riminese;;MEDIUM
1688 04 11;12:20;8.5;9;39;5.8;44.391;11.942;Romagna;;HIGH
1688 06 05;15:30;11;11;215;7;41.284;14.561;Sannio;;HIGH
1690 12 04;14:00;8.5;8.5;60;6.5;46.635;13.882;Carinzia;;LOW
1690 12 23;00:20;8;8.5;16;5.4;43.547;13.592;Anconetano;;MEDIUM
1691 02 19;-;7.5;7.5;6;5.4;46.093;14.447;Slovenia;;LOW
1693 01 09;21:00;8.5;8.5;30;6.2;37.141;15.035;Val di Noto;;HIGH
1693 01 11;13:30;11;11;179;7.4;37.141;15.013;Sicilia orientale;;HIGH
1694 04 08;10:15;7;7.5;6;5.1;43.621;12.091;Alta Valtiberina;;HIGH
1694 09 08;11:40;10;10;251;6.8;40.863;15.406;Irpinia-Basilicata;;HIGH
1695 02 25;05:30;10;10;82;6.5;45.802;11.948;Asolano;;MEDIUM
1695 06 11;02:20;10;10;37;6.2;42.625;12.107;Lazio settentrionale;;LOW
1697 09 20;16:50;6.5;6.5;2;4.9;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1697 09 30;12:15;6.5;6.5;2;4.9;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1697 10 01;-;6;6;2;4.7;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1697 10 28;01:00;6;6;2;4.7;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1697 12 20;19:45;6;6;2;4.7;43.322;11.327;Siena;S (epicentral parameters based on a single intensity datapoint);LOW
1700 07 28;03:35;9;9;28;5.7;46.410;12.880;Carnia;;LOW
1702 03 14;04:30;6.5;7.5;4;4.9;41.130;14.777;Benevento;;HIGH
1702 03 14;05:00;10;10;37;6.5;41.121;14.989;Beneventano-Irpinia;;HIGH
1702 04 02;06:20;6.5;7.5;4;4.9;41.130;14.777;Benevento;;HIGH
1702 04 06;16:55;6.5;6.5;1;4.9;41.130;14.777;Benevento;S (epicentral parameters based on a single intensity datapoint);HIGH
1703 01 14;18:00;11;11;197;6.7;42.709;13.070;Appennino umbro-reatino;;HIGH
1703 01 16;13:30;8;8;22;6;42.623;13.102;Appennino umbro-reatino;;HIGH
1703 02 02;11:05;10;10;69;6.7;42.435;13.292;Aquilano;;HIGH
1706 11 03;13:00;10.5;10.5;99;6.8;42.077;14.079;Maiella;;HIGH
1708 03 03;16:45;6;7;3;4.7;39.942;15.804;Tortora (CS);S (epicentral parameters based on a single intensity datapoint);LOW
1717 04 22;05:20;7.5;8.5;6;5;38.100;15.211;Castroreale (ME);;MEDIUM
1719 06 27;06:30;8;8;16;5.5;42.877;13.047;Alta Valnerina;;MEDIUM
1724 12 11;12:00;7.5;8;4;5.4;43.189;10.996;Colline Metallifere;;LOW
1725 10 29;17:40;8;8;28;5.4;44.207;11.573;Appennino tosco-emiliano;;MEDIUM
1726 09 01;21:55;7.5;8.5;8;5.6;38.121;13.353;Palermo;;HIGH
1729 06 23;02:20;7;7;7;4.9;43.774;11.704;Casentino;;MEDIUM
1730 05 12;05:00;9;9;115;5.9;42.753;13.120;Valnerina;;MEDIUM
1731 03 20;03:00;9;9;49;6.5;41.274;15.757;Foggiano;;HIGH
1732 11 29;07:40;10.5;10.5;187;6.6;41.064;15.059;Irpinia;;HIGH
1739 05 10;15:25;8;8.5;6;5.1;38.098;14.743;Naso (ME);;MEDIUM
1740 03 06;05:40;8;8;32;5.5;44.075;10.489;Garfagnana;;MEDIUM
1741 04 24;10:00;9;9;87;6.2;43.426;13.005;Appennino marchigiano;;LOW
1742 01 27;11:20;6;7;16;4.9;43.551;10.321;Livorno;;MEDIUM
1743 01 21;21:55;7;7;22;5;42.615;12.074;Bagnoregio (VT);;LOW
1743 02 20;16:30;9;9;86;6.9;40.246;18.049;Basso Ionio;;HIGH
1743 12 07;00:05;8;8.5;25;5.7;38.695;16.372;Calabria centrale;;LOW
1746 07 23;18:15;7;7.5;10;5.1;44.092;10.448;Garfagnana;;LOW
1747 04 17;16:20;8.5;8.5;24;5.8;43.218;12.745;Appennino umbro-marchigiano;;HIGH
1751 07 27;01:00;10;10;66;6.3;43.225;12.739;Appennino umbro-marchigiano;;HIGH
1753 03 09;13:15:00;6.5;7;16;5.2;44.942;7.180;Valle del Chisone;;MEDIUM
1755 11 01;08:40:00;8.5;8.5;1;5.8;40.895;12.959;Isola di Ponza;S (epicentral parameters based on a single intensity datapoint);LOW
1755 12 09;13:30;8;8;73;5.9;46.316;7.985;Vallese;;LOW
1762 04 15;18:00;7;7;12;5.1;44.005;11.505;Mugello;;MEDIUM
1762 10 06;12:10;9;9.5;6;6;42.308;13.585;Aquilano;;HIGH
1767 01 21;07:45;7;8;10;5.4;44.132;10.123;Fivizzano (MS);;LOW
1767 05 26;18:24:00;7;8;3;5.1;45.272;7.501;Valle di Lanzo;;MEDIUM
1767 07 14;01:05;8.5;8.5;8;6;39.375;16.279;Cosentino;;HIGH
1768 10 19;23:00;9;9;45;5.9;43.940;11.901;Appennino romagnolo;;MEDIUM
1770 12 27;04:00;6.5;7;5;4.9;43.703;11.408;Valdarno superiore;;LOW
1771 08 13;-;6;6;1;4.7;44.142;11.161;Castiglione dei Pepoli (BO);S (epicentral parameters based on a single intensity datapoint);LOW
1774 03 31;15:10;6;7;5;4.7;45.555;10.108;Bresciano;;LOW
1779 06 04;07:00;7;7;12;5.2;44.445;11.479;Bolognese;;HIGH
1779 07 14;19:30;6.5;7;17;5.2;44.461;11.328;Bolognese;;HIGH
1780 02 06;04:00;6;6.5;9;5.1;44.569;11.309;Bolognese;;HIGH
1781 04 04;21:20;9.5;9.5;96;5.9;44.252;11.798;Romagna;;HIGH
1781 06 03;06:25;9.5;10;147;6.3;43.576;12.548;Appennino marchigiano;;LOW
1781 07 17;09:40;8;8;46;5.6;44.267;11.989;Romagna;;HIGH
1781 09 10;11:30;6.5;6.5;11;4.9;45.502;9.589;Media valle dell’Adda;;LOW
1783 02 05;12:00;11;11;357;7;38.297;15.970;Calabria;;HIGH
1783 02 06;00:20;8.5;8.5;10;6.3;38.183;15.638;Calabria meridionale-Messina;;HIGH
1783 02 07;13:10;10.5;10.5;192;6.6;38.581;16.201;Calabria;;HIGH
1783 03 01;01:40;9;9.5;18;5.9;38.765;16.300;Calabria centrale;;HIGH
1783 03 28;18:55;11;11;323;7;38.786;16.464;Calabria;;HIGH
1785 05 03;02:30;7;8;11;5.1;43.073;12.955;Alta valle del Chienti;;MEDIUM
1785 10 09;03:15;8.5;8.5;33;5.7;42.537;12.788;Umbria meridionale;;LOW
1786 03 10;14:10;9;9;10;6.2;38.103;15.021;Sicilia nord-orientale;;HIGH
1786 04 07;00:25;6;6.5;9;5.1;45.299;9.595;Pianura Padana;;LOW
1786 07 31;15:35;7.5;8;7;5.4;42.323;13.373;Aquilano;;LOW
1786 12 25;01:00;8;8;90;5.6;43.992;12.564;Riminese;;MEDIUM
1787 07 26;07:15;6.5;6.5;1;4.9;44.836;11.618;Ferrara;S (epicentral parameters based on a single intensity datapoint);LOW
1788 10 20;21:15;7;8;6;5.1;46.399;13.019;Tolmezzo (UD);;LOW
1789 09 30;10:45;9.5;10;12;5.9;43.510;12.220;Valtiberina;;LOW
1791 10 13;01:20;9;9;77;6;38.636;16.268;Calabria centrale;;HIGH
