File downloaded from CFTI5Med
E. Guidoboni, G. Ferrari, D. Mariotti, A. Comastri, G. Tarabusi, G. Sgattoni, G. Valensise (2018) - CFTI5Med, Catalogo dei Forti Terremoti in Italia (461 a.C.-1997) e nell’area Mediterranea (760 a.C.-1500). Istituto Nazionale di Geofisica e Vulcanologia (INGV). http://storing.ingv.it/cfti/cfti5/

Date;Time;Io (Epicentral intensity - MCS scale);Imax (Maximum intensity - MCS scale);NMO (Number of Macroseismic Observations);Me (Equivalent magnitude based on macroseismic observations);Latitude;Longitude;Epicentral Area;Notes;Review Level
1854 12 29;01:45;7.5;7.5;86;5.7;43.787;7.558;Liguria occidentale-Francia;;LOW
1855 07 25;12:00;8;8.5;51;5.7;45.839;7.704;Vallese;;MEDIUM
1857 12 16;21:15;11;11;341;7;40.353;15.842;Basilicata;;HIGH
1857 12 26;05:00;7.5;7.5;1;5.4;40.298;15.991;Montemurro (PZ);S (epicentral parameters based on a single intensity datapoint);HIGH
1858 10 25;01:42:30;6;7;3;4.7;44.889;7.307;Valle del Chisone;;LOW
1859 01 20;07:55;7;7.5;35;5.2;45.891;12.101;Trevigiano;;LOW
1859 04 12;03:28;6.5;6.5;16;4.8;43.330;11.348;Senese;;LOW
1859 04 12;13:03;6.5;6.5;16;4.8;43.330;11.348;Senese;;LOW
1859 08 22;12:32;9;9;18;5.8;42.829;13.099;Valnerina;;MEDIUM
1864 12 12;15:49:32;6;6;9;4.8;44.043;11.282;Mugello;;LOW
1865 07 19;01:00;9;10;26;5.4;37.695;15.156;Area etnea;;HIGH
1865 09 21;20:50;7;7.5;5;5.1;43.282;12.312;Umbria settentrionale;;LOW
1866 08 11;23:00;7;7;33;4.9;45.737;10.797;Monte Baldo;;MEDIUM
1868 02 20;19:45;6.5;6.5;5;4.7;45.741;10.802;Monte Baldo;;MEDIUM
1869 02 07;05:00;6.5;6.5;6;4.9;43.335;11.332;Senese;;LOW
1869 06 25;13:58;7.5;7.5;18;5.4;44.313;11.118;Media valle del Reno;;LOW
1869 09 26;20:45;6.5;7;9;4.9;43.454;11.105;Valle dell’Elsa;;LOW
1870 10 04;16:55;9.5;10;54;6.1;39.220;16.331;Cosentino;;HIGH
1870 10 30;18:34;8;8;41;5.6;44.133;12.062;Romagna;;LOW
1871 07 29;20:45:34;7.5;8;13;5.4;43.301;10.618;Colline Metallifere;;LOW
1871 10 22;13:00;6.5;6.5;4;4.6;43.424;11.351;Chianti;;LOW
1873 03 12;20:04;8;9;196;6;43.090;13.244;Marche meridionali;;LOW
1873 06 29;03:58;9.5;9.5;198;6.3;46.160;12.383;Bellunese;;LOW
1873 07 12;06:06;7.5;7.5;61;5.4;41.687;13.778;Monti della Meta;;LOW
1873 09 17;19:30;6.5;6.5;78;5.5;44.439;9.946;Appennino tosco-emiliano;;LOW
1874 10 07;15:48;7;7.5;46;5.1;44.196;11.573;Appennino tosco-emiliano;;LOW
1874 12 06;15:50;7.5;8;43;5.5;41.655;13.827;Monti della Meta;;LOW
1875 03 17;23:51;8;8;144;5.8;44.063;12.547;Romagna sud-orientale;;LOW
1876 04 29;10:49;7;7.5;25;4.9;45.749;10.785;Monte Baldo;;HIGH
1876 05 02;-;6.5;6.5;3;4.9;45.757;10.786;Monte Baldo;;HIGH
1876 05 29;10:45;6.5;7;5;4.9;45.730;10.785;Monte Baldo;;HIGH
1877 08 24;02:45;7;7;54;5.2;41.711;13.351;Lazio meridionale;;LOW
1877 10 01;07:20;6;7;6;4.6;45.761;10.808;Monte Baldo;;HIGH
1878 03 12;21:36;6;6;31;5.1;44.425;11.543;Bolognese;;LOW
1878 06 07;22:25;6;7;34;4.9;44.440;7.356;Cuneese;;LOW
1878 09 15;07:20;8;8;34;5.4;42.846;12.676;Valle del Clitunno;;LOW
1879 02 23;18:30;8;8;15;5.6;42.766;13.043;Valnerina;;LOW
1879 04 27;04:06;7;7.5;20;5.1;44.169;11.586;Valle del Senio;;LOW
1879 06 17;06:50;9;9;27;5.7;37.687;15.146;Area etnea;;HIGH
1880 07 04;19:55;7;7;86;5.4;46.274;8.059;Vallese;;LOW
1881 01 24;16:14;7;7;38;5.2;44.402;11.348;Bolognese;;MEDIUM
1881 02 14;09:00:30;6;6;21;5;44.405;11.483;Bolognese;;MEDIUM
1881 03 04;12:15;9;9;22;5.4;40.748;13.895;Isola d’Ischia;;MEDIUM
1881 09 10;07:00;8;8.5;29;5.6;42.232;14.284;Abruzzo meridionale;;MEDIUM
1882 02 15;05:00;6;6;18;5;44.661;9.084;Val Borbera;;LOW
1882 06 06;05:40;7;8;50;5.3;41.558;14.203;Monti del Matese;;LOW
1882 09 18;19:25;7;7;7;5;45.711;10.770;Monte Baldo;;HIGH
1883 07 28;20:25;9.5;10;32;5.7;40.740;13.871;Isola d’Ischia;;MEDIUM
1884 09 12;07:23;6;6;34;4.9;45.548;9.770;Bassa valle del Serio;;LOW
1884 11 27;22:15;6.5;7;63;5.3;44.935;6.622;Alpi Cozie;;LOW
1887 02 23;05:21:50;9;10;1512;6.3;43.892;7.992;Liguria occidentale;;MEDIUM
1887 11 14;05:48:05;6;6;101;4.5;43.752;11.218;Fiorentino;;LOW
1887 12 03;03:45:00;8;9;142;5.5;39.564;16.221;Calabria settentrionale;;HIGH
1889 12 25;17:23:00;8;8;25;5;37.646;15.158;Area etnea;;HIGH
1891 06 07;01:06:14;8.5;9;403;5.9;45.565;11.165;Valle d’Illasi;;HIGH
1892 08 09;07:58;6.5;6.5;160;4.9;45.567;11.204;Valle d’Alpone;;LOW
1893 08 10;20:52:00;8;8.5;69;5.4;41.714;16.075;Gargano;;LOW
1894 02 09;12:48:05;6;6;116;4.8;45.584;11.140;Valle d’Illasi;;LOW
1894 08 08;05:16:00;9.5;9.5;40;5.7;37.656;15.114;Area etnea;;HIGH
1894 11 16;17:52:00;9;9;303;6.1;38.289;15.870;Calabria meridionale;;HIGH
1894 11 27;05:07:55;6;6;183;5.1;45.565;10.122;Bresciano;;MEDIUM
1895 04 14;22:17:00;8;8;293;6.2;46.132;14.534;Slovenia;;LOW
1895 05 18;19:55:12;8;8;405;5.4;43.704;11.264;Fiorentino;;HIGH
1895 09 04;13:30;6.5;7.5;14;4.6;44.028;11.818;Valle del Montone;;MEDIUM
1897 07 15;05:57;6.5;7.5;53;5.3;46.059;14.503;Slovenia;;LOW
1897 12 18;07:24:20;7;7.5;132;5.1;43.497;12.378;Appennino umbro-marchigiano;;MEDIUM
1898 01 16;12:10:05;6.5;7;72;4.8;44.645;11.770;Argenta (FE) - Portomaggiore (FE);;LOW
1898 03 04;21:05:00;7.5;7.5;313;5.4;44.656;10.260;Valle del Parma;;LOW
1898 08 25;16:37:46;7;7.5;67;5;42.896;12.994;Alta Valnerina;;LOW
1898 09 12;14:14:10;8;8;16;5.3;42.908;12.975;Alta Valnerina;;LOW
1899 06 26;23:17:22;7;7;140;5.1;43.959;11.117;Valle del Bisenzio;;LOW
1899 07 19;13:18:54;7;7;122;5.1;41.798;12.686;Colli Albani;;MEDIUM
1901 07 31;10:38:30;7;7;76;5.2;41.719;13.750;Monti della Meta;;LOW
1901 10 30;14:49:58;8;8;191;5.7;45.583;10.493;Salò;;MEDIUM
1904 02 24;15:53:26;8.5;9;56;5.6;42.097;13.316;Marsica;;HIGH
1904 02 25;18:47:50;6;7;62;4.9;44.491;10.639;Reggiano;;LOW
1904 06 10;11:15:28;6;7;101;4.9;44.200;10.842;Frignano;;LOW
1904 07 12;05:32;6;6.5;27;4.8;44.893;6.816;Alpi Cozie;;LOW
1905 04 29;01:46:45;7.5;7.5;268;5.7;46.016;7.011;Alta Savoia;;LOW
1905 09 08;01:43:11;10;10;871;6.7;38.682;16.056;Calabria;;HIGH
1907 04 25;04:52;6;6;122;4.9;45.318;11.073;Veronese;;MEDIUM
1907 10 23;20:28:19;8.5;9;274;6;38.087;15.985;Calabria meridionale;;HIGH
1907 12 20;10:29:15;6;7;35;4.6;43.487;11.374;Radda in Chianti (SI);;LOW
1908 07 10;02:13:35;7.5;7.5;120;5.4;46.465;13.190;Carnia;;LOW
1908 12 28;04:20:27;11;11;838;7;38.165;15.687;Calabria meridionale-Messina;;HIGH
1909 08 25;00:22:27;8;8;286;5.6;43.139;11.331;Toscana meridionale;;LOW
1910 06 07;02:04:00;8;9;376;5.7;40.899;15.422;Irpinia-Basilicata;;HIGH
1910 06 29;13:52:14;7;8;58;4.9;42.742;12.929;Valnerina;;LOW
1911 02 19;07:18:30;7;7;181;5.3;44.118;12.075;Romagna meridionale;;LOW
1911 03 26;20:20:50;6;7;8;4.7;43.811;11.816;Eremo di Camaldoli (AR);;LOW
1911 09 13;22:29:02;7;7;115;5.2;43.437;11.343;Chianti;;LOW
1911 10 15;08:52:21;10;10;48;5.6;37.703;15.153;Area etnea;;HIGH
1913 06 28;08:53:02;8;8.5;151;5.7;39.532;16.239;Calabria settentrionale;;HIGH
1914 05 08;18:01:28;10;10;83;5.9;37.660;15.133;Area etnea;;HIGH
1914 10 26;03:43:22;7;7;63;5.4;45.051;7.360;Valli torinesi;;LOW
1915 01 13;06:52:43;11;11;858;7;41.982;13.648;Marsica;;HIGH
1915 03 15;11:23;7;7;24;5;43.012;12.893;Alta valle del Chienti;;LOW
1915 03 26;23:37;6;6;40;4.6;43.078;12.463;Assisi (PG);;LOW
1916 05 17;12:50;8;8;132;5.8;44.011;12.623;Alto Adriatico;;MEDIUM
1916 06 16;01:27;6;6.5;17;4.9;44.022;12.603;Alto Adriatico;;MEDIUM
1916 08 16;07:06:14;8;8;257;5.7;43.962;12.671;Alto Adriatico;;MEDIUM
1916 11 16;06:35:30;8;8;40;5.5;42.646;13.168;Appennino umbro-reatino;;LOW
1917 04 26;09:35:59;9.5;9.5;134;5.9;43.468;12.129;Valtiberina;;MEDIUM
1917 05 12;15:34:36;7.5;7.5;34;5.1;42.591;12.641;Ternano;;MEDIUM
1918 04 24;14:21:49;6;6;34;4.9;45.779;9.604;Lecchese-Bergamasco;;LOW
1918 11 10;15:12:28;9;9;188;5.9;43.918;11.933;Appennino romagnolo;;MEDIUM
1919 06 29;15:06:13;10;10;567;6.3;43.958;11.482;Mugello;;MEDIUM
1919 09 10;16:57:37;7.5;8;57;5.3;42.822;11.764;Toscana meridionale;;LOW
1919 10 22;06:06:04;7;7;134;5.3;41.538;12.684;Litorale pontino;;LOW
1920 09 07;05:55:40;10;10;750;6.5;44.186;10.277;Garfagnana;;MEDIUM
1924 01 02;08:55:13;7.5;7.5;76;5.3;43.737;13.140;Medio Adriatico;;MEDIUM
1925 09 24;13:33:46;7;7.5;50;5.1;41.720;14.188;Molise occidentale;;LOW
1926 01 01;18:04:03;7.5;7.5;63;5.9;45.763;14.282;Slovenia;;LOW
1927 12 26;15:06:14;7;8;38;4.9;41.701;12.701;Colli Albani;;LOW
1928 03 27;08:32:30;9;9;214;5.8;46.380;12.984;Friuli;;LOW
1928 06 13;07:55:00;6;7;29;4.7;44.761;10.903;Carpi (MO);;LOW
1929 04 10;05:43:12;7;7;74;5.2;44.426;11.475;Bolognese;;HIGH
1929 04 19;04:15:22;7;7;69;5.3;44.484;11.200;Bolognese;;HIGH
1929 04 20;01:09:46;8;8;691;5.4;44.478;11.138;Bolognese;;HIGH
1929 04 22;08:25:33;6.5;6.5;35;5;44.478;11.128;Bolognese;;HIGH
1929 04 29;18:35:59;6;6;30;5.1;44.489;11.099;Bolognese;;HIGH
1929 05 11;19:22:48;6.5;6.5;52;5.2;44.482;11.118;Bolognese;;HIGH
1929 07 18;21:01:58;6.5;7;57;5;43.989;11.507;Mugello;;LOW
1930 07 23;00:08:00;10;10;507;6.7;41.064;15.344;Irpinia;;HIGH
1930 10 30;07:13:06;8;9;249;5.8;43.674;13.274;Marche settentrionali;;LOW
1931 03 27;02:46:57;6;6;7;4.8;44.821;11.764;Ferrarese;;LOW
1931 09 05;01:25:53;6;7;28;4.7;44.057;11.367;Mugello;;LOW
1931 12 15;03:31:22;6;6;26;4.7;44.071;11.494;Mugello;;LOW
1932 02 19;12:57:11;7.5;8;21;5.1;45.633;10.729;Monte Baldo;;LOW
1933 09 26;03:33:29;9;9;325;6;42.080;14.093;Maiella;;HIGH
1935 03 19;07:27:00;7;7.5;170;5.3;44.651;6.632;Alpi Cozie;;LOW
1936 10 17;02:42;6;6.5;15;4.7;45.555;8.043;Biellese;;LOW
1936 10 18;03:10:01;9;9;193;6.2;46.032;12.411;Alpago-Cansiglio;;LOW
1937 09 17;12:19:05;7;7;34;4.8;44.764;10.338;Parmense;;LOW
1938 07 18;00:57;7;7;260;5.3;44.593;6.735;Alpi Cozie;;LOW
1939 02 11;11:16:54;6;7;35;4.7;44.018;11.420;Mugello;;LOW
1940 01 15;13:19:24;7.5;8;60;5.3;38.076;13.428;Golfo di Palermo;;MEDIUM
1941 05 22;06:16:00;7.5;7.5;7;5.4;38.806;15.235;Stromboli (ME);S (epicentral parameters based on a single intensity datapoint);MEDIUM
1943 10 03;08:28:29;8.5;9;131;5.8;42.910;13.651;Marche meridionali-Abruzzo;;LOW
1945 06 14;05:03:45;6.5;6.5;6;4.9;44.818;9.146;Valle Staffora;;HIGH
1945 06 29;15:37:13;7.5;7.5;31;5.2;44.831;9.130;Valle Staffora;;HIGH
1947 05 11;06:32:15;8;9;254;5.7;38.653;16.518;Calabria centrale;;HIGH
1948 06 13;06:33:36;7.5;7.5;144;5.1;43.582;12.140;Valtiberina;;MEDIUM
1948 08 18;21:12:20;7;7;60;5.5;41.552;15.813;Puglia settentrionale;;MEDIUM
1948 08 21;08:44:47;6.5;7;42;5.3;41.614;15.739;Puglia settentrionale;;MEDIUM
1948 08 22;23:16:20;7;7;76;5.5;41.441;15.812;Puglia settentrionale;;MEDIUM
1951 05 15;22:54:24;6.5;6.5;154;5.4;45.252;9.601;Pianura Padana;;MEDIUM
1952 07 04;20:35:12;7;7;64;5;43.981;11.882;Appennino romagnolo;;LOW
1953 08 22;05:26;6;6;6;4.8;44.788;10.794;Reggiano;;LOW
1956 04 26;03:00:03;6;6;75;4.7;44.205;11.333;Appennino tosco-emiliano;;LOW
1956 05 26;18:40;7;7;76;5;43.939;11.896;Appennino romagnolo;;LOW
1956 06 03;01:45:57;6;7;62;4.6;44.004;11.875;Appennino romagnolo;;LOW
1958 06 24;06:07:04;7.5;7.5;152;5.2;42.340;13.478;L’Aquila;;LOW
1959 04 05;10:48:00;7;7.5;65;5.2;44.488;6.712;Valle dell’Ubaye;;LOW
1959 04 26;14:45:13;7.5;8;79;5.2;46.467;13.043;Carnia;;LOW
1960 03 23;23:08:49;6.5;6.5;179;5.3;46.347;7.980;Vallese;;LOW
1960 10 29;00:08:39;7;7;69;5;43.999;11.385;Mugello;;LOW
1961 10 31;13:37:18;7.5;8;71;5.1;42.396;13.042;Valle del Velino;;LOW
1962 08 21;18:19:30;9;9;261;6.1;41.231;14.953;Irpinia;;LOW
1962 09 16;14:49:45;6;6;19;4.7;43.600;11.362;Valle del Greve;;LOW
1963 07 19;05:45:28;6;6;463;5.4;43.923;8.065;Mar Ligure;;LOW
1967 10 31;21:08:07;8;8;60;5.6;37.862;14.413;Monti Nebrodi;;LOW
1968 01 15;01:33:02;8;8;15;5.6;37.760;13.001;Valle del Belice;;HIGH
1968 01 15;02:01:09;10;10;162;6.5;37.760;12.987;Valle del Belice;;HIGH
1969 04 17;09:12:28;7;7.5;26;5.1;41.572;13.788;Lazio meridionale;;LOW
1971 02 06;18:09:08;7.5;8.5;31;5.2;42.443;11.846;Tuscania (VT);;LOW
1971 07 15;01:33:23;8;8;229;5.7;44.815;10.344;Parmense;;HIGH
1972 01 25;20:25:11;6;7;24;4.6;43.615;13.355;Medio Adriatico;;MEDIUM
1972 02 04;02:42:53;7.5;8;75;5.3;43.591;13.295;Medio Adriatico;;MEDIUM
1972 02 04;09:19:04;7.5;7.5;56;5.4;43.589;13.283;Medio Adriatico;;MEDIUM
1972 02 05;01:27:00;6;7;2;4.7;43.604;13.507;Medio Adriatico;;MEDIUM
1972 02 05;07:08:42;7;7;6;5.2;43.656;13.329;Medio Adriatico;;MEDIUM
1972 02 05;15:14:48;6;7;3;4.7;43.604;13.507;Medio Adriatico;;MEDIUM
1972 02 06;01:34:14;7;7;1;5.1;43.604;13.507;Medio Adriatico;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1972 06 14;18:55:46;8;8;17;5.5;43.581;13.415;Medio Adriatico;;MEDIUM
1974 12 02;01:55:15;7.5;8;27;5.2;42.814;12.927;Valnerina;;LOW
1975 01 16;00:09:45;7.5;7.5;346;5.3;38.115;15.643;Stretto di Messina;;LOW
1976 05 06;20:00:13;10;10;525;6.5;46.235;13.057;Friuli;;LOW
1976 09 11;16:35:01;7.5;7.5;40;5.7;46.273;13.176;Friuli;;LOW
1976 09 15;09:21:18;8.5;8.5;54;6.1;46.259;13.110;Friuli;;LOW
1978 03 11;19:20:44;8;8;126;5.5;38.011;15.976;Calabria meridionale;;LOW
1978 04 15;23:33:47;8;8;331;5.7;38.125;15.022;Golfo di Patti;;LOW
1979 02 09;14:44:16;6;6;73;4.9;45.638;9.554;Media valle dell’Adda;;LOW
1979 09 19;21:35:37;8.5;9;694;5.8;42.717;13.075;Valnerina;;LOW
1980 11 23;18:34:52;10;10;1395;6.7;40.843;15.283;Irpinia-Basilicata;;LOW
1980 12 23;12:01:06;6.5;7;38;5.2;44.802;9.757;Piacentino;;LOW
1985 08 15;18:58:05;7;7;7;4.9;44.637;9.684;Appennino ligure;;LOW
1349 09 09;-;9;9;17;6.1;42.271;13.132;Aquilano;;HIGH
1349 09 09;08:15;8.5;8.5;9;6.4;42.512;11.932;Viterbese-Umbria;;HIGH
1091 01 27;-;7;7;1;5.1;41.896;12.482;Roma;S (epicentral parameters based on a single intensity datapoint);LOW
1982 03 21;09:44:01;7.5;7.5;125;5.4;40.008;15.766;Golfo di Policastro;;LOW
1983 11 09;16:29:52;6.5;7;850;5.3;44.756;10.265;Parmense;;MEDIUM
1984 04 29;05:02:57;8;8;592;5.6;43.210;12.510;Umbria settentrionale;;LOW
1984 05 07;17:50:00;8;8;913;5.8;41.667;14.057;Appennino abruzzese;;LOW
1990 12 13;00:24:00;7;7.5;304;5.4;37.262;14.984;Sicilia sud-orientale;;LOW
1760 12 23;-;6.5;7;7;4.7;40.802;14.404;Area vesuviana;;LOW
1984 05 11;10:42:00;7;7;342;5.4;41.715;14.076;Appennino abruzzese;;LOW
1477 02 03;01:00;6.5;7.5;3;4.9;42.956;12.704;Foligno (PG);;MEDIUM
1730 10 23;10:20;7.5;7.5;1;5.4;43.352;12.577;Gubbio (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1832 11 14;11:00;6;6;5;4.7;42.956;13.107;Alta valle del Chienti;;LOW
1832 11 21;21:00;6;7;8;4.8;42.952;13.120;Alta valle del Chienti;;LOW
1832 12 04;19:00;7.5;7.5;6;5.3;43.006;13.070;Alta valle del Chienti;;LOW
1838 08 05;17:15;7;7;10;5.1;42.877;12.884;Valnerina;;MEDIUM
1455 02 06;-;8;8;2;5.6;44.334;11.183;Media valle del Reno;S (epicentral parameters based on a single intensity datapoint);LOW
1172 09 26;13:40;8;8;1;5.6;38.188;15.549;Messina;S (epicentral parameters based on a single intensity datapoint);LOW
1255 11 17;10:00;6.5;6.5;1;4.9;38.188;15.549;Messina;S (epicentral parameters based on a single intensity datapoint);LOW
1258 02 19;16:30;8;9;2;5.6;41.757;13.992;Barrea (AQ);;LOW
1280 - -;-;6.5;6.5;1;5;40.856;14.260;Napoli;S (epicentral parameters based on a single intensity datapoint);LOW
1295 09 01;03:00;8.5;8.5;1;5.8;37.500;14.000;Sicilia;S (epicentral parameters based on a single intensity datapoint);LOW
1303 08 -;-;8;9;4;5.6;43.768;14.025;Medio Adriatico;;LOW
1429 11 10;16:20;6.5;6.5;1;4.9;38.188;15.549;Messina;S (epicentral parameters based on a single intensity datapoint);LOW
1558 02 09;04:15;7;7.5;3;5.1;43.514;12.190;Alta Valtiberina;;MEDIUM
1559 04 11;20:00;7;8;3;5.1;43.621;12.091;Alta Valtiberina;;MEDIUM
1690 03 22;21:50;6.5;6.5;1;4.9;43.457;12.239;Alta Valtiberina;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1693 01 08;22:15;8;8;14;5.6;39.796;16.113;Calabria settentrionale;;MEDIUM
1517 03 29;19:00;7.5;8.5;3;5.4;41.012;15.210;Irpinia;;LOW
1708 01 26;-;8.5;8.5;9;5.5;39.995;16.014;Pollino;;LOW
1780 09 14;17:20;7.5;8;5;5.4;38.082;14.981;Golfo di Patti;;MEDIUM
1631 02 25;-;7;7;1;5.1;43.055;12.857;Annifo (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1349 09 09;-;9;9;4;6;42.022;13.970;Abruzzo;;HIGH
1721 06 18;-;7;7;1;5.1;43.055;12.857;Annifo (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1793 04 21;-;7.5;7.5;1;5.4;43.026;12.811;Afrile (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1693 02 24;03:45;6.5;7;2;4.9;43.450;12.337;Alta Valtiberina;;MEDIUM
1699 05 07;-;6;6;2;4.7;42.480;12.070;Viterbese;;LOW
1725 04 17;13:05;6.5;7.5;4;4.9;43.455;12.428;Alta Valtiberina;;MEDIUM
1731 03 29;-;7.5;7.5;1;5.4;43.671;12.041;Alta Valtiberina;S (epicentral parameters based on a single intensity datapoint);LOW
1737 03 31;17:20;7;7;3;5.1;40.921;14.660;Campania;;LOW
1738 06 -;-;6.5;7.5;4;4.9;38.705;16.131;Pizzo (VV);;LOW
1740 03 30;12:10;6.5;6.5;1;4.9;38.915;16.586;Catanzaro;S (epicentral parameters based on a single intensity datapoint);LOW
1741 08 06;13:45;7.5;7.5;5;5.4;41.030;14.932;Irpinia;;LOW
1743 10 02;-;7;7;1;5.1;39.132;16.081;Amantea (CS);S (epicentral parameters based on a single intensity datapoint);LOW
1744 03 21;20:00;8;9;29;5.7;39.040;16.781;Crotonese;;LOW
1748 07 25;-;6;6;1;4.7;43.113;12.788;Nocera Umbra (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1761 05 03;09:00;6.5;6.5;1;4.9;38.915;16.586;Catanzaro;S (epicentral parameters based on a single intensity datapoint);LOW
1778 01 04;16:30;6;6;1;4.7;43.604;13.507;Ancona;S (epicentral parameters based on a single intensity datapoint);LOW
1209 - -;-;9;9;2;6;42.167;13.875;Appennino abruzzese;;LOW
1339 11 16;14:10;6;6;1;4.7;44.836;11.618;Ferrara;S (epicentral parameters based on a single intensity datapoint);LOW
1409 08 17;00:35;6;6;1;4.7;44.836;11.618;Ferrara;S (epicentral parameters based on a single intensity datapoint);LOW
1411 01 09;02:00;7;7;1;5.1;44.836;11.618;Ferrara;S (epicentral parameters based on a single intensity datapoint);LOW
1497 03 03;-;8.5;8.5;1;5.8;44.251;9.916;Lunigiana;S (epicentral parameters based on a single intensity datapoint);LOW
1536 08 17;00:05;6.5;6.5;10;5.3;44.365;10.933;Appennino tosco-emiliano?;;LOW
1438 02 02;12:15;7.5;7.5;1;5.4;41.787;12.677;Grottaferrata (RM);S (epicentral parameters based on a single intensity datapoint);LOW
1492 01 -;-;6.5;6.5;1;4.9;44.217;12.049;Forlì;S (epicentral parameters based on a single intensity datapoint);LOW
1740 07 13;-;6;6;1;4.7;43.113;12.788;Nocera Umbra (PG);S (epicentral parameters based on a single intensity datapoint);LOW
1046 11 09;-;9;9;1;6;45.834;11.066;Media valle dell’Adige;S (epicentral parameters based on a single intensity datapoint);LOW
1117 01 03;15:15;7.5;7.5;5;5.3;44.089;10.452;Toscana settentrionale;;LOW
1275 11 02;-;8.5;8.5;1;5.8;40.726;13.911;Isola d’Ischia;S (epicentral parameters based on a single intensity datapoint);LOW
1348 09 13;-;8;8;1;5.6;41.926;13.095;Subiaco (RM);S (epicentral parameters based on a single intensity datapoint);LOW
1353 04 22;-;9;9;1;6;40.994;15.653;Melfi (PZ);S (epicentral parameters based on a single intensity datapoint);LOW
1377 11 14;-;7.5;7.5;1;5.4;38.675;15.899;Tropea (VV);S (epicentral parameters based on a single intensity datapoint);LOW
1386 03 17;-;7.5;7.5;1;5.4;40.856;14.260;Napoli;S (epicentral parameters based on a single intensity datapoint);LOW
1270 - -;-;8;8;1;5.6;43.571;12.141;Sansepolcro (AR);S (epicentral parameters based on a single intensity datapoint);LOW
1345 12 22;-;6;6;1;4.7;43.778;11.249;Firenze;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1457 01 08;-;6;6;1;4.7;40.856;14.260;Napoli;S (epicentral parameters based on a single intensity datapoint);HIGH
400 B. C. - -;-;7.5;7.5;1;5.4;37.584;12.825;Selinunte (TP);S (epicentral parameters based on a single intensity datapoint);LOW
701 - -;-;8.5;8.5;1;5.8;37.584;12.825;Selinunte (TP);S (epicentral parameters based on a single intensity datapoint);LOW
1997 09 26;00:33;7.5;7.5;760;5.6;43.041;12.998;Appennino umbro-marchigiano;;LOW
1997 09 26;09:40;8;8.5;891;5.7;43.114;12.901;Appennino umbro-marchigiano;;LOW
1997 10 14;15:23;7.5;8.5;786;5.5;42.947;12.973;Appennino umbro-marchigiano;;LOW
436 B. C. - -;-;7.5;7.5;1;5.4;43.000;12.500;Italia centrale;S (epicentral parameters based on a single intensity datapoint);HIGH
217 B. C. 06 -;-;10;10;2;6.4;43.250;11.250;Etruria;S (epicentral parameters based on a single intensity datapoint);HIGH
174 B. C. - -;-;10;10;1;6.4;42.250;12.667;Sabina;S (epicentral parameters based on a single intensity datapoint);HIGH
100 B. C. - -;-;8.5;8.5;1;5.8;43.167;13.500;Picenum;S (epicentral parameters based on a single intensity datapoint);HIGH
99 B. C. - -;-;8;9;2;5.6;42.793;13.094;Norcia (PG);;HIGH
91 B. C. - -;-;8.5;8.5;1;5.8;38.109;15.647;Reggio Calabria?;S (epicentral parameters based on a single intensity datapoint);HIGH
91 B. C. - -;-;8;8.5;3;5.6;44.648;10.784;Modena-Reggio Emilia;;HIGH
83 B. C. - -;-;7.5;7.5;1;5.4;41.896;12.482;Roma;S (epicentral parameters based on a single intensity datapoint);HIGH
76 B. C. - -;-;10;10;1;6.4;42.405;12.867;Rieti;S (epicentral parameters based on a single intensity datapoint);HIGH
72 B. C. - -;-;7.5;7.5;1;5.4;41.896;12.482;Roma;S (epicentral parameters based on a single intensity datapoint);HIGH
63 B. C. - -;-;8;8;1;5.6;42.733;12.736;Spoleto (PG);S (epicentral parameters based on a single intensity datapoint);HIGH
56 B. C. 04 -;-;8.5;8.5;1;5.8;43.433;13.665;Potentia (MC);S (epicentral parameters based on a single intensity datapoint);HIGH
2 B. C. - -;-;7.5;7.5;1;5.4;40.856;14.260;Napoli;S (epicentral parameters based on a single intensity datapoint);HIGH
15 - -;-;7.5;7.5;1;5.4;41.896;12.482;Roma;S (epicentral parameters based on a single intensity datapoint);HIGH
17 - -;-;7.5;7.5;2;5.4;37.804;15.199;Reggio Calabria-Sicilia;;HIGH
37 03 16;-;7;7;1;5.1;40.550;14.243;Capri (NA);S (epicentral parameters based on a single intensity datapoint);HIGH
51 - -;-;8;8;1;5.6;41.896;12.482;Roma;S (epicentral parameters based on a single intensity datapoint);HIGH
62 02 05;-;8.5;9;4;5.8;40.778;14.417;Pompei (NA);;HIGH
79 08 25;07:00;8;8;6;6;40.795;14.389;Area vesuviana;;HIGH
99 - -;-;9.5;9.5;1;6.2;41.358;14.808;Circello (BN);S (epicentral parameters based on a single intensity datapoint);HIGH
101 - -;-;9.5;9.5;1;6.2;42.233;13.987;San Valentino in Abruzzo (PE);S (epicentral parameters based on a single intensity datapoint);HIGH
346 - -;-;9;9;7;7;41.387;14.427;Sannio;;HIGH
